experiment_id,phase,model_name,model_id,params_billions,quantization,model_family,dataset,task_type,prompting_technique,technique_category,num_samples,accuracy
p1_smollm360m_sst2_zero,1_sst2,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.495
p1_smollm360m_sst2_few,1_sst2,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.487
p1_smollm360m_sst2_cot,1_sst2,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.54
p1_smollm360m_sst2_fscot,1_sst2,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.492
p1_smollm360m_sst2_role,1_sst2,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,475
p1_qwen05b_sst2_zero,1_sst2,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.855
p1_qwen05b_sst2_few,1_sst2,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.888
p1_qwen05b_sst2_cot,1_sst2,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.87
p1_qwen05b_sst2_fscot,1_sst2,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.827
p1_qwen05b_sst2_role,1_sst2,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.855
p1_tinyllama_sst2_zero,1_sst2,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.45
p1_tinyllama_sst2_few,1_sst2,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.492
p1_tinyllama_sst2_cot,1_sst2,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.105
p1_tinyllama_sst2_fscot,1_sst2,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.19
p1_tinyllama_sst2_role,1_sst2,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.45
p1_qwen15b_sst2_zero,1_sst2,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.91
p1_qwen15b_sst2_few,1_sst2,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.923
p1_qwen15b_sst2_cot,1_sst2,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.91
